area_type,availability,location,size,bath,balcony,total_m2,price_mDT
Super built-up  Area,18-Apr,l mida,2 BHK,2,1,104.7912,700.5600903
Plot  Area,Ready To Move,kalaa khasba,2 Bedroom,2,2,111.48,1379.564486
Plot  Area,Ready To Move,AKSHAYA VANA,4 Bedroom,4,3,111.48,1778.344845
Super built-up  Area,Ready To Move,fawar,3 BHK,3,2,222.031,4472.80673
Plot  Area,Ready To Move,nabeul,4 Bedroom,4,1,222.96,4311.139017
Super built-up  Area,Ready To Move,benzert nord,3 BHK,3,2,136.0056,603.5594624
Super built-up  Area,Ready To Move,MANAYATA TECH PARK,2 BHK,2,2,111.48,592.7816149
Super built-up  Area,Ready To Move,dakach,2 BHK,2,2,111.48,560.4480722
Super built-up  Area,Ready To Move,nadhour,3 BHK,2,1,106.835,592.7816149
Built-up  Area,Ready To Move,BASAVANNA NAGAR,3 BHK,3,2,152.8205,1023.895517
Super built-up  Area,20-Mar,tela,2 BHK,2,1,92.9,722.1157854
Plot  Area,Ready To Move,benzert nord,4 Bedroom,4,2,246.185,2134.013814
Super built-up  Area,Ready To Move,hay l khadhra,2 BHK,2,2,110.7368,797.5607182
Super built-up  Area,Ready To Move,tejrouin,3 BHK,3,2,198.3415,2317.237222
Super built-up  Area,19-Dec,hesi farid,2 BHK,2,1,108.9717,625.1151575
Built-up  Area,Ready To Move,siida,2 BHK,2,2,94.758,485.0031394
Super built-up  Area,Ready To Move,awled chemekh,4 BHK,6,2,290.0338,2478.904935
Super built-up  Area,Ready To Move,zanouch,3 BHK,3,3,148.64,689.7822428
Plot  Area,18-Mar,T.C PALYA,2 Bedroom,2,0,111.48,851.4499559
Carpet  Area,Ready To Move,MUNESHWARA NAGAR,2 BHK,2,3,114.267,517.3366821
Super built-up  Area,Ready To Move, DEVARACHIKKANAHALLI,2 BHK,2,2,116.125,431.1139017
Super built-up  Area,Ready To Move,zaghwen,2 BHK,2,2,123.0925,819.1164133
Built-up  Area,Ready To Move,wardya,3 BHK,3,1,171.865,1616.677131
Super built-up  Area,21-Dec,aamdoun,1 BHK,,,48.7725,232.0470576
Super built-up  Area,Ready To Move,jbenyena,2 BHK,2,2,111.48,700.5600903
Plot  Area,Ready To Move,BULL TEMPLE ROAD,3 Bedroom,2,0,125.415,1508.898656
Super built-up  Area,18-Jun,sokra,3 BHK,3,1,117.054,531.9945547
Super built-up  Area,Ready To Move,PRASHANTH NAGAR,3 BHK,3,0,167.22,1616.677131
Plot  Area,18-Dec,SURAGAJAKKANAHALLI,3 Bedroom,3,2,1.0219,797.5607182
Built-up  Area,Ready To Move,bardo,2 BHK,2,1,102.19,466.1419062
Super built-up  Area,Ready To Move,tinja,2 BHK,2,1,140.0932,829.8942608
Carpet  Area,Ready To Move,SAMPIGEHALLI,3 BHK,3,2,147.8968,808.3385657
Super built-up  Area,Ready To Move,hrayrya,2 BHK,2,3,128.9452,614.33731
Super built-up  Area,18-May,hammamet,1 BHK,1,1,58.527,305.5519778
Plot  Area,Ready To Move,RMV,3 Bedroom,3,2,185.8,3933.914353
Super built-up  Area,Ready To Move,BANASHANKARI3RD STAGE BIGBAZAR,3 BHK,3,1,163.6898,1347.230943
Super built-up  Area,21-Dec,BAGALUR MAIN ROAD,2 BHK,2,2,88.255,538.8923772
Super built-up  Area,Ready To Move,ghar dimaa,4 BHK,5,3,302.1108,3610.578927
Super built-up  Area,18-Aug,jrisa,2 BHK,2,1,103.6764,538.8923772
Super built-up  Area,Ready To Move,sidi bou zid west,2 BHK,2,2,121.5132,959.6595452
Super built-up  Area,Ready To Move,MS PALLYA,3 BHK,3,0,111.48,970.0062789
Plot  Area,Ready To Move,BINNY MILLS EMPLOYEES COLONY,4 Bedroom,4,2,139.35,2478.904935
Built-up  Area,Ready To Move,aamra,1 BHK,1,1,46.45,199.3901795
Super built-up  Area,Ready To Move,ghar lmelh,2 BHK,2,1,99.8675,560.4480722
Super built-up  Area,18-Mar,rades,1 BHK,1,0,49.237,125.6697024
Built-up  Area,Ready To Move,sfax lemdina,2 BHK,2,3,111.9445,711.3379378
Super built-up  Area,Ready To Move,manzah6,2 BHK,2,2,99.8675,646.6708526
Built-up  Area,Ready To Move,makther,2 BHK,2,2,86.397,420.3360542
Super built-up  Area,Ready To Move,bouficha,2 BHK,2,1,128.202,646.6708526
Super built-up  Area,Ready To Move,jarzouna,4 BHK,5,2,230.6707,2284.903679
Built-up  Area,Ready To Move,tabarka,2 BHK,2,2,108.3214,592.7816149
Super built-up  Area,Ready To Move,aamra,2 BHK,2,1,97.545,700.5600903
Super built-up  Area,19-Mar,GOPALAPURA,3 BHK,3,2,188.002659,2963.908074
Super built-up  Area,Ready To Move,sfax ouest,2 BHK,2,2,111.48,504.403265
Super built-up  Area,Ready To Move,nasrallah,3 BHK,2,1,148.64,1164.007535
Super built-up  Area,Ready To Move,hencha,3 BHK,3,2,179.7615,1185.56323
Super built-up  Area,18-May,lemdina,1 BHK,1,0,41.8979,322.2576415
Super built-up  Area,Ready To Move,l mida,3 BHK,3,2,167.22,1023.895517
Super built-up  Area,18-May,rouhya,3 BHK,3,0,130.06,829.8942608
Super built-up  Area,Ready To Move,ghazela,3 BHK,3,2,167.3129,1239.452467
Built-up  Area,Ready To Move,kef west,2 BHK,2,,134.7979,970.0062789
Plot  Area,19-Jan,sidi bachir,2 Bedroom,1,1,111.48,388.0025115
Super built-up  Area,Ready To Move,sfax ouest,2 BHK,2,2,107.764,474.2252919
Built-up  Area,Ready To Move,hazwa,2 BHK,2,1,92.9,269.4461886
Super built-up  Area,Ready To Move,aamdoun,2 BHK,2,1,88.255,431.1139017
Built-up  Area,20-Dec,"HOODI CIRCLE, ",3 BHK,3,2,151.3341,851.4499559
Built-up  Area,Ready To Move,akareb,3 BHK,2,0,146.782,1444.231571
Super built-up  Area,21-Jun,akareb,3 BHK,3,2,169.6354,1304.119553
Built-up  Area,Ready To Move,wardya,2 BHK,2,1,115.6605,1013.117669
Super built-up  Area,Ready To Move,manzel hbib,2 BHK,2,2,106.3705,493.517639
Super built-up  Area,Ready To Move,ben guerden,2 BHK,2,1,76.6425,355.6689689
Super built-up  Area,18-Aug,douar hicher,3 BHK,3,3,157.2797,1164.007535
Super built-up  Area,Ready To Move,dar chaaben fehri,2 BHK,2,2,103.422783,571.2259198
Built-up  Area,Ready To Move,ASHIRVAD COLONY,2 BHK,2,1,135.634,625.1151575
Built-up  Area,Ready To Move,bouaarkoub,2 BHK,2,1,97.545,344.8911214
Built-up  Area,Ready To Move,kelibia,2 BHK,2,2,117.054,592.7816149
Super built-up  Area,Ready To Move,K N EXTENSION,6 BHK,3,,65.03,1293.341705
Built-up  Area,Ready To Move,jam,2 BHK,2,1,153.8424,1293.341705
Super built-up  Area,Ready To Move,rades,3 BHK,3,1,112.2232,485.0031394
Super built-up  Area,Ready To Move,hesi farid,3 BHK,3,2,177.439,1735.233454
Super built-up  Area,Ready To Move,hesi farid,4 BHK,4,1,302.1108,2478.904935
Plot  Area,Ready To Move,sakyet zit,2 Bedroom,2,1,111.48,700.5600903
Super built-up  Area,Ready To Move,GOKULA EXTENSION,4 BHK,4,1,111.48,1886.12332
Super built-up  Area,Ready To Move,wardya,2 BHK,2,1,109.1575,883.7834985
Plot  Area,Ready To Move,KAMAKSHIPALYA,2 Bedroom,2,0,92.9,1778.344845
Plot  Area,Ready To Move,aamra,4 Bedroom,2,0,111.48,1347.230943
Super built-up  Area,Ready To Move,fawar,3 BHK,3,2,222.031,4418.917493
Super built-up  Area,19-Jan,fawar,7 BHK,6,3,1114.8,23711.26459
Plot  Area,Ready To Move,sidi makhlouf,2 Bedroom,1,1,51.095,668.2265477
Super built-up  Area,Ready To Move,hazwa,1 BHK,1,0,,199.3901795
Super built-up  Area,Ready To Move,SANNE AMANIKERE,2 BHK,2,,110.0865,409.5582066
Super built-up  Area,Ready To Move,hazwa,2 BHK,2,1,69.675,409.5582066
Plot  Area,Ready To Move,ked ouest,6 Bedroom,7,3,111.48,2694.461886
Super built-up  Area,Ready To Move,aamdoun,3 BHK,3,3,143.995,695.1711665
Built-up  Area,Ready To Move,AMCO COLONY,3 BHK,3,2,163.504,948.4505838
Super built-up  Area,Ready To Move,hencha,2 BHK,2,2,104.5125,668.2265477
Plot  Area,Ready To Move,rgueb,3 Bedroom,3,2,125.415,1616.677131
Plot  Area,17-Dec,omrane l aala,2 Bedroom,2,1,92.9,592.7816149
Built-up  Area,18-Aug,sidi thebet,2 BHK,2,2,101.261,339.2866407
Plot  Area,Ready To Move,mednin sud,2 Bedroom,2,0,111.48,646.6708526
Super built-up  Area,Ready To Move,ariana soghra,3 BHK,4,2,184.9639,1110.118297
Super built-up  Area,18-Oct,sokra,2 BHK,2,1,98.474,285.6129599
Super built-up  Area,Ready To Move,tahrir,2 BHK,2,1,102.6545,808.3385657
Built-up  Area,Ready To Move,manzel bourguiba,2 BHK,2,2,91.5065,722.1157854
Plot  Area,Ready To Move,rades,6 Bedroom,5,3,142.4157,916.1170412
Super built-up  Area,17-Jul,bouficha,3 BHK,3,2,147.711,851.4499559
Super built-up  Area,Ready To Move,hay gazela,2 BHK,2,2,104.048,592.7816149
Super built-up  Area,Ready To Move,SAMETHANAHALLI,2 BHK,2,1,99.3101,592.7816149
Super built-up  Area,Ready To Move,kalaa khasba,3 BHK,3,2,179.5757,1508.898656
Built-up  Area,16-Mar,jam,2 BHK,2,0,110.9226,743.6714805
Super built-up  Area,Ready To Move,mnihla,2 BHK,2,3,106.835,743.6714805
Super built-up  Area,Ready To Move,sehlin,2 BHK,2,2,115.196,507.8521762
Super built-up  Area,Ready To Move,manzel hbib,2 BHK,2,2,131.8251,518.4144668
Plot  Area,Ready To Move,wardya,8 Bedroom,8,,111.48,2694.461886
Super built-up  Area,Ready To Move,RICHMOND TOWN,3 BHK,4,,199.735,2586.68341
Super built-up  Area,Ready To Move,SUDDAGUNTEPALYA,3 BHK,3,2,134.705,592.7816149
Super built-up  Area,18-Jul,UDAYAPUR VILLAGE,3 BHK,3,2,151.427,736.0192087
Super built-up  Area,Ready To Move,morneg,2 BHK,1,1,65.7732,431.1139017
Plot  Area,Ready To Move,touzeur,3 Bedroom,4,3,92.9,1185.56323
Plot  Area,Ready To Move,hesi farid,4 Bedroom,4,3,1104.581,7544.49328
Super built-up  Area,Ready To Move,sfax lemdina,2 BHK,2,1,116.125,819.1164133
Super built-up  Area,Ready To Move,wardya,3 BHK,2,1,130.06,1023.895517
Super built-up  Area,Ready To Move,tela,3 BHK,2,3,155.143,614.33731
Super built-up  Area,Ready To Move,bardo,3 BHK,3,2,162.575,1077.784754
Super built-up  Area,Ready To Move,zouhour gasserine,2 BHK,2,1,130.4316,765.2271756
Super built-up  Area,Ready To Move,manzel bourguiba,3 BHK,2,2,159.3235,1023.895517
Built-up  Area,18-Apr,l mida,1 BHK,1,1,58.527,373.4524174
Super built-up  Area,Ready To Move,tinja,3 BHK,3,2,162.771948,1455.009418
Super built-up  Area,Ready To Move,mahdia,3 BHK,3,2,153.285,840.6721084
Super built-up  Area,Ready To Move,manzel hbib,2 BHK,2,1,120.3055,597.8472032
Plot  Area,Ready To Move,nabeul,3 Bedroom,3,2,167.22,2716.017581
Super built-up  Area,18-Sep,tela,2 BHK,2,1,125.0434,797.8840536
Plot  Area,Ready To Move,THIPPASANDRA,4 Bedroom,4,2,111.48,2155.569509
Super built-up  Area,Ready To Move,mornagya,2 BHK,2,2,106.835,592.7816149
Built-up  Area,Ready To Move,CHIKKABIDARAKALLU,4 Bedroom,4,3,307.4061,3502.800451
Super built-up  Area,18-May,rades,3 BHK,2,2,110.551,327.1076729
Super built-up  Area,Ready To Move,kabarya,3 BHK,3,2,150.498,1056.229059
Super built-up  Area,18-Apr,kalaa khasba,2 BHK,2,1,88.255,506.1277206
Super built-up  Area,Ready To Move,1 GIRI NAGAR,11 BHK,9,3,464.5,3880.025115
Super built-up  Area,Ready To Move,tinja,3 BHK,3,0,227.605,1293.341705
Super built-up  Area,18-May,hammamet,3 BHK,2,1,113.338,379.7035689
Super built-up  Area,Ready To Move,HOYSALANAGAR,2 BHK,2,1,78.965,323.3354263
Built-up  Area,Ready To Move,mzouna,2 BHK,2,2,94.758,679.0043952
Built-up  Area,Ready To Move,ben arous,2 BHK,2,2,102.19,538.8923772
Super built-up  Area,Ready To Move,DEFENCE COLONY,2 BHK,2,2,106.835,1358.00879
Super built-up  Area,18-Dec,jarzouna,3 BHK,2,2,163.504,1401.120181
Super built-up  Area,Ready To Move,tahrir,3 BHK,3,3,167.22,1185.56323
Super built-up  Area,Ready To Move,hrayrya,2 BHK,2,1,99.403,582.0037673
Plot  Area,Ready To Move,beb bhar,4 Bedroom,4,2,139.35,2371.126459
Plot  Area,Ready To Move,mnihla,2 Bedroom,2,0,133.776,1023.895517
Super built-up  Area,Ready To Move,omrane,2 BHK,2,1,83.61,431.1139017
Built-up  Area,Ready To Move,ITI EMPLOYEES LAYOUT,4 BHK,4,1,111.48,2478.904935
Super built-up  Area,18-May,hesi farid,2 BHK,2,1,104.977,454.3940524
Super built-up  Area,Ready To Move,sbikha,2 BHK,2,1,122.628,1778.344845
Super built-up  Area,19-Jun,ein drahem,2 BHK,2,1,117.983,1056.229059
Built-up  Area,Ready To Move,PATELAPPA LAYOUT,2 BHK,2,1,111.48,668.2265477
Super built-up  Area,Ready To Move,RING ROAD NAGARBHAVI,4 BHK,4,,445.92,2532.794173
Super built-up  Area,Ready To Move,NS PALYA,2 BHK,2,1,111.48,797.5607182
Super built-up  Area,Ready To Move,jerba,2 BHK,2,0,86.3041,540.7246112
Built-up  Area,Ready To Move,RMV 2ND STAGE,4 BHK,4,2,106.835,2802.240361
Plot  Area,Ready To Move,ghriba,4 Bedroom,4,3,104.5125,1940.012558
Plot  Area,Ready To Move,tamghza,5 Bedroom,3,2,46.45,700.5600903
Plot  Area,Ready To Move,3RD BLOCK HRBR LAYOUT,5 Bedroom,5,2,111.48,2047.791033
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,3,2,136.0056,603.5594624
Super built-up  Area,Ready To Move,wardya,4 BHK,4,3,334.44,4311.139017
Plot  Area,Ready To Move,BANK AVENUE,4 Bedroom,4,2,185.8,1067.006907
Super built-up  Area,Ready To Move,ben arous,2 BHK,2,1,112.2232,528.1145296
Super built-up  Area,Ready To Move,sajnan,2 BHK,2,2,104.977,646.6708526
Super built-up  Area,Ready To Move,SURABHI LAYOUT,3 BHK,3,2,162.8537,1293.341705
Super built-up  Area,Ready To Move,sabela,5 BHK,7,3,418.05,3632.134622
Plot  Area,Ready To Move,kendar,3 Bedroom,3,2,55.74,625.1151575
Super built-up  Area,22-Jun,manzel bourguiba,2 BHK,2,2,111.1084,1017.644365
Built-up  Area,Ready To Move,manzah6,2 BHK,3,3,106.835,565.836996
Super built-up  Area,18-Apr,l mida,2 BHK,2,1,104.7912,679.0043952
Super built-up  Area,Ready To Move,OMKAR NAGAR,2 BHK,2,1,92.9,571.2259198
Super built-up  Area,Ready To Move,fousena,2 BHK,2,1,96.1515,485.0031394
Built-up  Area,Ready To Move,jandouba sud,2 BHK,2,1,88.255,344.8911214
Super built-up  Area,Ready To Move,hay tadhamen,3 BHK,2,1,99.8675,388.0025115
Super built-up  Area,Ready To Move,hesi farid,2 BHK,2,1,96.616,522.7256058
Plot  Area,17-Oct,MARAGONDANAHALLI,2 Bedroom,2,1,66.888,485.0031394
Super built-up  Area,Ready To Move,aala,3 BHK,3,1,140.3719,1023.895517
Built-up  Area,Ready To Move,SILK BOARD,3 BHK,3,1,120.77,625.1151575
Super built-up  Area,19-Dec,manzel bourguiba,3 BHK,3,1,143.5305,740.9770186
Built-up  Area,Ready To Move,gafsa nord,1 BHK,2,0,34.8375,280.2240361
Super built-up  Area,Ready To Move,mnihla,2 BHK,2,3,98.6598,409.5582066
Super built-up  Area,Ready To Move,KADA AGRAHARA,2 BHK,2,1,103.5835,431.1139017
Super built-up  Area,Ready To Move,seliena nord,2 BHK,2,1,92.9,377.224664
Super built-up  Area,17-May,beja sud,2 BHK,2,1,82.0307,485.0031394
Super built-up  Area,19-Apr,tela,2 BHK,2,1,111.0155,754.449328
Plot  Area,Ready To Move,BHEL LAYOUT,4 Bedroom,3,1,111.48,1778.344845
Built-up  Area,Ready To Move,MEDAHALLI,1 Bedroom,1,0,65.03,441.8917493
Super built-up  Area,Ready To Move,zouhour gasserine,2 BHK,2,1,115.7534,722.1157854
Plot  Area,Ready To Move,lemdina,4 Bedroom,4,2,61.314,970.0062789
Plot  Area,Ready To Move,jawharet sousse,4 Bedroom,4,2,789.65,1562.787894
Super built-up  Area,Ready To Move,KASHI NAGAR,4 BHK,4,1,148.64,862.2278034
Super built-up  Area,18-Dec,benzert nord,4 BHK,5,3,260.5845,1659.788522
Super built-up  Area,Ready To Move,sfax ouest,3 BHK,3,,147.1536,700.5600903
Plot  Area,Ready To Move,sidi boubakr,4 Bedroom,5,1,278.7,2963.908074
Built-up  Area,Ready To Move,jam,3 BHK,2,2,109.1575,517.3366821
Built-up  Area,19-Jul,"YEMLUR, OLD AIRPORT ROAD, ",3 BHK,3,2,148.1755,1239.452467
Super built-up  Area,Ready To Move,VHBCS LAYOUT,2 BHK,2,2,125.6937,1185.56323
Super built-up  Area,18-Apr,l mida,3 BHK,3,2,148.5471,1347.230943
Super built-up  Area,Ready To Move,hesi farid,2 BHK,2,1,106.835,754.449328
Super built-up  Area,17-Dec,aarousa,4 BHK,6,1,485.867,5011.699107
Super built-up  Area,Ready To Move,makther,2 BHK,2,2,107.2995,460.645204
Built-up  Area,Ready To Move,ITTAMADU,1 BHK,2,0,111.48,916.1170412
Super built-up  Area,18-Jul,hammamet,2 BHK,2,1,92.9,269.4461886
Super built-up  Area,Ready To Move,bradeaa,4 BHK,4,,278.7,1293.341705
Built-up  Area,Ready To Move,douz,3 BHK,3,1,173.4443,1724.455607
Super built-up  Area,18-Jun,gubeli sud,2 BHK,2,1,116.2179,506.5588345
Super built-up  Area,18-Apr,GATTAHALLI,2 BHK,2,1,95.5012,490.3920632
Super built-up  Area,Ready To Move,jbal jloud,2 BHK,2,2,113.5238,485.0031394
Super built-up  Area,Ready To Move,aamra,3 BHK,2,1,108.693,711.3379378
Super built-up  Area,Ready To Move,jarzouna,3 BHK,4,1,222.96,2640.572648
Super built-up  Area,Ready To Move,RAMANJANEYANAGAR,3 BHK,2,2,128.6665,522.5100489
Super built-up  Area,Ready To Move,benzert sud,2 BHK,2,1,127.4588,732.8936329
Super built-up  Area,Ready To Move,jrisa,3 BHK,2,2,119.0978,528.1145296
Super built-up  Area,Ready To Move,kousour,9 BHK,9,3,464.5,2263.347984
Built-up  Area,Ready To Move,7TH BLOCK JAYANAGAR,5 Bedroom,3,1,278.7,5690.703503
Super built-up  Area,Ready To Move,aamdoun,2 BHK,2,1,105.4415,428.2038829
Built-up  Area,20-Dec,hesi farid,3 BHK,3,2,164.2472,1088.562602
Built-up  Area,Ready To Move,BYATARAYANAPURA,3 BHK,2,1,123.0925,970.0062789
Super built-up  Area,18-Apr,l mida,3 BHK,3,2,148.5471,1067.006907
Plot  Area,18-Mar,hesi farid,3 Bedroom,3,1,139.35,667.6876553
Plot  Area,Ready To Move,2ND PHASE JP NAGAR,3 Bedroom,3,0,242.469,5378.145924
Super built-up  Area,Ready To Move,siida,2 BHK,2,2,119.4694,679.0043952
Built-up  Area,Ready To Move,beja nord,5 BHK,5,1,264.3005,1508.898656
Super built-up  Area,Ready To Move,K G COLONY,3 BHK,2,,148.64,538.8923772
Super built-up  Area,18-Sep,mater,2 BHK,2,0,122.39575,687.3033378
Super built-up  Area,Ready To Move,jarzouna,3 BHK,5,2,320.505,2802.240361
Super built-up  Area,18-Apr,dhahbya,2 BHK,2,2,102.3758,578.4470776
Super built-up  Area,Ready To Move,fousena,2 BHK,2,2,125.415,582.0037673
Super built-up  Area,Ready To Move,nfidha,3 BHK,2,2,111.48,452.6695968
Plot  Area,Ready To Move,tborba,6 Bedroom,6,0,120.77,1562.787894
Plot  Area,Ready To Move,HEROHALLI,2 Bedroom,1,1,167.22,862.2278034
Built-up  Area,Ready To Move,mourouj,2 BHK,2,1,88.255,431.1139017
Super built-up  Area,21-Dec,aamdoun,1 BHK,1,1,48.7725,293.6963455
Built-up  Area,Ready To Move,beb jdid,2 BHK,2,1,60.9424,269.4461886
Plot  Area,Ready To Move,kalaa khasba,4 Bedroom,4,3,165.362,1886.12332
Super built-up  Area,Ready To Move,3RD BLOCK HRBR LAYOUT,2 BHK,2,1,98.1024,862.2278034
Super built-up  Area,21-Feb,aamra,1 BHK,1,1,55.2755,359.1178801
Built-up  Area,Ready To Move,ITTAMADU,2 BHK,2,2,100.332,538.8923772
Super built-up  Area,19-Dec,wardya,3 BHK,3,1,206.7025,1724.455607
Super built-up  Area,18-Aug,sokra,2 BHK,2,1,104.6054,303.3964083
Super built-up  Area,Ready To Move,dar chaaben fehri,3 BHK,3,1,138.421,905.3391936
Plot  Area,Ready To Move,aalia,4 Bedroom,4,1,185.8,3233.354263
Super built-up  Area,Ready To Move,tela,3 BHK,3,3,143.995,1077.784754
Super built-up  Area,Ready To Move,,3 BHK,3,2,148.64,926.8948887
Built-up  Area,Ready To Move,ASHWINI LAYOUT,2 BHK,2,1,107.764,592.7816149
Built-up  Area,Ready To Move,hesi farid,4 Bedroom,4,3,384.9776,3395.021976
Super built-up  Area,Ready To Move,tela,3 BHK,3,2,195.09,1347.230943
Super built-up  Area,Ready To Move,zouhour gasserine,2 BHK,2,1,130.4316,746.9048347
Plot  Area,Ready To Move,tela,4 Bedroom,4,3,207.167,2425.015697
Super built-up  Area,Ready To Move,MARATHALLI BRIDGE,3 BHK,3,,143.4376,1293.341705
Super built-up  Area,18-May,jawharet sousse,3 BHK,2,1,121.2345,632.6596508
Super built-up  Area,Ready To Move,kalaa khasba,2 BHK,2,2,114.267,862.2278034
Plot  Area,Ready To Move,T.C PALYA,2 Bedroom,2,0,111.48,700.5600903
Super built-up  Area,Ready To Move,tinja,3 BHK,3,1,135.634,786.7828706
Plot  Area,Immediate Possession,tela,,,,167.22,368.4407183
Built-up  Area,Ready To Move,mestir,2 BHK,2,3,89.8343,485.0031394
Built-up  Area,Ready To Move,BYATARAYANAPURA,1 Bedroom,1,1,50.166,388.0025115
Super built-up  Area,19-Dec,mornagya,1 BHK,1,2,66.4235,495.780987
Super built-up  Area,Ready To Move,hesi farid,3 BHK,3,2,232.25,3373.466281
Super built-up  Area,Ready To Move,DOORAVANI NAGAR,3 BHK,3,1,146.5962,1940.012558
Super built-up  Area,Ready To Move,tataouin nord,2 BHK,2,1,94.758,527.5756372
Super built-up  Area,Ready To Move,bou arada,2 BHK,2,1,94.758,431.1139017
Super built-up  Area,Ready To Move,sbikha,2 BHK,2,1,116.4037,1099.340449
Super built-up  Area,Ready To Move,JCR LAYOUT,2 BHK,2,2,109.622,452.6695968
Super built-up  Area,Ready To Move,souk jdid,2 BHK,2,2,89.2769,409.5582066
Built-up  Area,Ready To Move,tibar,3 BHK,3,3,131.8251,808.3385657
Super built-up  Area,Ready To Move,tinja,3 BHK,3,2,158.7661,1616.677131
Plot  Area,Ready To Move,PAPAREDDIPALYA,2 Bedroom,2,0,148.64,1239.452467
Super built-up  Area,18-Jul,VENKATAPURA,1 BHK,1,1,38.6464,199.3901795
Carpet  Area,Ready To Move,kasserine nord,2 BHK,2,2,102.19,1056.229059
Super built-up  Area,Ready To Move,benzert sud,3 BHK,2,1,132.847,700.5600903
Super built-up  Area,Ready To Move,SNEHA COLONY,2 BHK,2,2,117.054,485.0031394
Built-up  Area,Ready To Move,RMV EXTENSION,3 BHK,3,2,151.427,916.1170412
Super built-up  Area,19-May,tela,3 BHK,3,2,116.0321,481.8775636
Super built-up  Area,Ready To Move,zaghwen,3 BHK,2,3,134.705,916.1170412
Super built-up  Area,17-Nov,wedi mliz,3 BHK,3,1,259.2839,2403.460002
Super built-up  Area,Ready To Move,HOSAPALYA,1 BHK,1,0,55.74,970.0062789
Built-up  Area,Ready To Move,ASHWINI LAYOUT,1 BHK,1,1,77.4786,646.6708526
Plot  Area,Ready To Move,DODDAGUBBI,3 Bedroom,4,1,104.5125,754.449328
Super built-up  Area,Ready To Move,jbal jloud,3 BHK,3,2,191.374,1508.898656
Super built-up  Area,19-Jan,dahmeni,7 BHK,7,3,1114.8,23711.26459
Built-up  Area,Ready To Move,mestir,2 BHK,2,1,82.7739,269.4461886
Super built-up  Area,Ready To Move,manzel hbib,2 BHK,2,1,105.2557,528.8689789
Built-up  Area,Ready To Move,hay tadhamen,3 BHK,2,1,99.8675,398.7803591
Super built-up  Area,18-May,SECTOR 6 HSR LAYOUT,4 BHK,5,2,278.7,2802.240361
Plot  Area,Ready To Move,mnihla,4 Bedroom,5,2,226.676,4580.585206
Built-up  Area,Ready To Move,mnihla,2 BHK,2,2,111.48,592.7816149
Super built-up  Area,Ready To Move,bradeaa,2 BHK,2,2,99.8675,493.6254175
Super built-up  Area,Ready To Move,fahs,2 BHK,2,2,105.906,431.1139017
Plot  Area,Ready To Move,kalet snan,5 Bedroom,4,2,87.326,1616.677131
Plot  Area,Ready To Move,ITI LAYOUT,6 Bedroom,5,1,200.664,2694.461886
Super built-up  Area,Ready To Move,manzel hbib,2 BHK,2,1,101.261,452.6695968
Built-up  Area,Ready To Move,metwya,4 Bedroom,4,1,139.35,754.449328
Super built-up  Area,Ready To Move,hesi farid,4 BHK,4,2,381.2616,3880.025115
Super built-up  Area,Ready To Move,hesi farid,3 BHK,3,,166.291,1077.784754
Super built-up  Area,18-Dec,jarzouna,3 BHK,3,2,178.368,1444.231571
Built-up  Area,Ready To Move,aalia,2 BHK,2,2,127.6446,1023.895517
Carpet  Area,Ready To Move,aamra,3 BHK,3,2,134.2405,1023.895517
Super built-up  Area,19-Dec,tibar,1 BHK,1,1,66.0519,388.0025115
